water_point_id,district,sector,latitude,longitude,technology_type,year_installed,population_served,monthly_rainfall,current_status
TR-0001,Nyagatare,Sector-1,-2.0272,29.9075,hand_pump,2006,809,46.6,Functional
TR-0002,Kayonza,Sector-3,-1.7575,30.2361,borehole,2021,793,117.0,Functional
TR-0003,Kayonza,Sector-4,-1.2905,30.6975,solar_pump,2013,1476,36.6,Non-Functional
TR-0004,Gatsibo,Sector-2,-1.9453,30.7392,protected_spring,2007,309,24.8,Non-Functional
TR-0005,Gatsibo,Sector-4,-2.3246,30.0383,hand_pump,2020,545,54.3,Functional
TR-0006,Rwamagana,Sector-2,-2.0719,30.6743,protected_spring,2018,355,97.5,Functional
TR-0007,Nyagatare,Sector-5,-2.0483,30.0157,hand_pump,2006,451,107.9,Non-Functional
TR-0008,Kayonza,Sector-3,-2.4164,30.2901,borehole,2008,1458,129.9,Non-Functional
TR-0009,Bugesera,Sector-3,-2.1420,30.1520,solar_pump,2005,1509,49.1,Non-Functional
TR-0010,Nyagatare,Sector-1,-1.6416,30.0926,hand_pump,2010,147,61.9,Functional
TR-0011,Gatsibo,Sector-3,-2.1247,30.054,hand_pump,2006,1040,30.7,Functional
TR-0012,Rwamagana,Sector-5,-1.2631,30.3228,borehole,2018,433,81.1,Functional
TR-0013,Kayonza,Sector-1,-2.259,30.5197,protected_spring,2014,372,129.7,Functional
TR-0014,Kayonza,Sector-4,-2.4615,30.8329,borehole,2023,523,95.6,Functional
TR-0015,Kayonza,Sector-3,-1.5451,30.8808,protected_spring,2019,375,83.4,Functional
TR-0016,Kayonza,Sector-4,-1.3665,29.9696,piped_kiosk,2016,825,60.1,Functional
TR-0017,Gatsibo,Sector-4,-2.2106,30.038,borehole,2014,1593,120.3,Functional
TR-0018,Nyagatare,Sector-3,-2.3171,30.6907,piped_kiosk,2006,971,72.1,Functional
TR-0019,Rwamagana,Sector-2,-2.3399,30.1706,hand_pump,2006,1179,30.5,Non-Functional
TR-0020,Gatsibo,Sector-4,-1.8692,30.7848,hand_pump,2016,829,57.0,Functional
TR-0021,Gatsibo,Sector-1,-1.9442,30.5635,piped_kiosk,2005,101,22.7,Non-Functional
TR-0022,Bugesera,Sector-3,-2.2368,30.0118,piped_kiosk,2005,207,38.2,Non-Functional
TR-0023,Nyagatare,Sector-1,-2.5368,30.7325,hand_pump,2009,488,17.0,Functional
TR-0024,Rwamagana,Sector-4,-1.9259,30.0764,borehole,2021,450,67.1,Functional
TR-0025,Kayonza,Sector-4,-1.2569,30.3235,solar_pump,2013,1357,88.0,Functional
TR-0026,Kayonza,Sector-1,-1.6865,30.4522,piped_kiosk,2018,1362,54.5,Non-Functional
TR-0027,Gatsibo,Sector-4,-1.9063,30.4008,solar_pump,2012,1378,63.3,Functional
